MSSV,MaMon,DiemHe10
SV00021,ENG03,8.90
SV00021,ENG02,3.60
SV00021,IT002,4.50
SV00021,IT010,8.20
SV00021,IT001,6.60
SV00021,IT008,6.30
SV00022,MATH02,9.50
SV00022,ENG01,8.30
SV00022,IT010,5.70
SV00022,IT008,4.30
SV00022,MATH05,2.30
SV00022,PHY01,9.00
SV00023,IT002,5.60
SV00023,MATH02,5.60
SV00023,ENG03,4.70
SV00023,PHY02,8.10
SV00023,IT004,3.70
SV00023,MATH03,3.00
SV00023,MATH04,7.30
SV00023,MATH05,7.30
SV00023,IT005,7.90
SV00024,IT008,3.00
SV00024,PHY01,9.60
SV00024,IT001,6.00
SV00024,IT006,2.80
SV00024,IT004,8.50
SV00024,ENG03,9.40
SV00024,PHY02,3.00
SV00025,IT005,2.90
SV00025,IT006,2.40
SV00025,MATH01,2.40
SV00025,MATH02,8.60
SV00025,MATH04,3.10
SV00025,IT009,7.60
SV00025,IT004,8.40
SV00025,MATH05,4.00
SV00026,MATH04,2.20
SV00026,MATH05,3.30
SV00026,MATH03,8.30
SV00026,MATH02,6.60
SV00026,IT008,4.50
SV00026,IT001,8.20
SV00026,PHY01,3.90
SV00026,ENG02,9.90
SV00026,IT003,9.00
SV00026,IT007,7.80
SV00027,ENG01,6.50
SV00027,IT010,3.70
SV00027,IT006,3.00
SV00027,IT008,6.70
SV00027,IT007,7.70
SV00027,IT009,8.50
SV00027,IT004,4.80
SV00027,IT001,8.80
SV00027,ENG03,3.60
SV00027,MATH03,2.10
SV00028,IT009,4.50
SV00028,IT002,2.80
SV00028,MATH04,6.30
SV00028,ENG03,5.40
SV00028,IT005,7.00
SV00028,PHY02,8.60
SV00028,MATH02,9.00
SV00028,IT008,4.00
SV00028,IT001,4.70
SV00029,IT009,5.80
SV00029,PHY02,8.00
SV00029,IT006,4.20
SV00029,MATH03,7.60
SV00029,ENG03,5.50
SV00029,IT010,3.30
SV00029,ENG01,3.10
SV00029,IT004,5.40
SV00029,IT005,4.40
SV00030,IT010,7.80
SV00030,IT004,5.70
SV00030,IT008,4.90
SV00030,PHY01,3.30
SV00030,PHY02,6.30
SV00031,IT007,4.20
SV00031,IT006,5.60
SV00031,IT004,2.10
SV00031,PHY02,7.90
SV00031,IT008,3.30
SV00031,ENG02,3.70
SV00032,IT001,2.00
SV00032,ENG01,8.40
SV00032,IT006,6.20
SV00032,MATH04,2.20
SV00032,MATH05,6.20
SV00032,IT002,9.90
SV00032,MATH03,4.60
SV00032,PHY01,5.10
SV00032,IT005,9.30
SV00033,IT004,8.30
SV00033,IT005,3.50
SV00033,MATH02,5.60
SV00033,IT008,6.70
SV00033,IT003,4.90
SV00033,PHY02,4.10
SV00033,ENG01,6.70
SV00033,MATH04,8.90
SV00033,MATH01,7.60
SV00034,PHY01,5.00
SV00034,IT002,6.80
SV00034,MATH01,5.50
SV00034,MATH03,2.40
SV00034,ENG03,9.10
SV00034,IT009,7.10
SV00035,MATH03,3.70
SV00035,ENG02,4.20
SV00035,IT001,9.60
SV00035,PHY02,7.60
SV00035,IT007,3.30
SV00035,IT010,8.00
SV00035,IT004,5.10
SV00036,PHY02,9.50
SV00036,MATH03,8.30
SV00036,MATH01,7.30
SV00036,PHY01,8.30
SV00036,IT009,6.10
SV00036,MATH04,6.20
SV00036,IT007,3.50
SV00036,IT004,6.90
SV00037,ENG03,4.80
SV00037,MATH01,6.70
SV00037,PHY01,6.30
SV00037,ENG02,6.50
SV00037,MATH04,5.30
SV00037,IT007,5.50
SV00037,PHY02,6.60
SV00037,IT008,4.50
SV00038,ENG01,8.20
SV00038,PHY02,5.70
SV00038,PHY01,6.00
SV00038,IT008,4.30
SV00038,IT006,6.10
SV00038,MATH01,9.80
SV00038,MATH04,8.80
SV00038,IT001,4.10
SV00039,IT001,7.60
SV00039,MATH01,3.80
SV00039,ENG01,8.00
SV00039,PHY02,6.90
SV00039,MATH02,3.60
SV00039,ENG02,3.80
SV00040,MATH01,6.80
SV00040,ENG02,2.50
SV00040,IT001,8.80
SV00040,MATH04,8.70
SV00040,PHY01,9.20
SV00040,IT002,8.40
SV00040,MATH03,8.00
SV00040,IT009,6.40
SV00041,MATH04,4.00
SV00041,IT003,5.50
SV00041,IT002,3.10
SV00041,IT008,5.10
SV00041,ENG03,6.10
SV00041,IT005,7.30
SV00042,IT010,3.40
SV00042,MATH02,5.60
SV00042,MATH01,3.20
SV00042,IT005,3.40
SV00042,MATH05,2.50
SV00042,PHY02,3.10
SV00042,IT001,7.90
SV00042,ENG03,2.30
SV00042,IT009,5.30
SV00043,MATH03,9.30
SV00043,IT003,2.60
SV00043,ENG03,7.60
SV00043,IT002,8.50
SV00043,MATH04,4.00
SV00043,MATH02,9.10
SV00044,IT003,8.30
SV00044,IT007,6.60
SV00044,PHY01,3.60
SV00044,ENG03,7.90
SV00044,IT005,8.90
SV00044,MATH01,9.00
SV00044,IT001,9.20
SV00045,PHY01,5.40
SV00045,IT005,8.30
SV00045,MATH04,4.90
SV00045,IT004,4.80
SV00045,ENG01,5.20
SV00045,IT010,7.40
SV00045,IT002,4.20
SV00045,MATH05,2.60
SV00045,ENG03,4.30
SV00045,IT008,6.40
SV00046,MATH01,4.70
SV00046,MATH02,7.00
SV00046,IT001,4.10
SV00046,IT003,2.00
SV00046,IT002,6.80
SV00046,IT010,6.60
SV00047,MATH03,6.20
SV00047,PHY01,4.20
SV00047,IT006,8.50
SV00047,IT008,8.80
SV00047,IT004,2.90
SV00047,IT005,9.80
SV00048,IT005,3.10
SV00048,MATH05,6.30
SV00048,MATH04,7.70
SV00048,IT004,6.70
SV00048,PHY01,3.20
SV00048,IT007,4.70
SV00048,IT006,6.40
SV00048,PHY02,6.20
SV00049,IT003,7.80
SV00049,PHY01,2.30
SV00049,MATH05,3.70
SV00049,MATH03,7.00
SV00049,IT005,5.50
SV00049,ENG03,8.80
SV00049,IT009,7.50
SV00050,ENG02,7.90
SV00050,PHY02,3.30
SV00050,ENG03,5.80
SV00050,IT010,2.00
SV00050,IT008,2.70
SV00050,PHY01,8.30
SV00050,ENG01,3.40
SV00050,MATH02,7.30
SV00050,MATH05,5.90
SV00050,MATH04,2.10
SV00051,PHY02,6.40
SV00051,PHY01,5.30
SV00051,ENG03,5.10
SV00051,IT004,5.60
SV00051,ENG02,3.10
SV00051,IT001,2.20
SV00052,IT010,2.10
SV00052,IT007,5.20
SV00052,IT008,2.50
SV00052,ENG01,3.70
SV00052,IT001,6.10
SV00052,ENG02,7.00
SV00052,MATH03,2.60
SV00053,PHY01,8.90
SV00053,IT002,8.50
SV00053,IT003,3.10
SV00053,ENG02,7.80
SV00053,IT010,7.90
SV00053,IT001,3.50
SV00054,PHY01,6.50
SV00054,IT004,3.20
SV00054,MATH01,9.60
SV00054,IT005,6.90
SV00054,IT009,7.40
SV00054,IT002,6.60
SV00054,IT008,6.30
SV00055,IT004,4.70
SV00055,MATH02,8.10
SV00055,IT006,6.90
SV00055,IT010,4.30
SV00055,IT008,5.80
SV00055,PHY01,5.70
SV00055,IT001,5.80
SV00056,IT006,4.50
SV00056,PHY02,7.70
SV00056,ENG03,6.70
SV00056,MATH03,8.90
SV00056,PHY01,3.40
SV00056,IT005,8.70
SV00056,IT009,9.00
SV00057,ENG01,8.90
SV00057,IT008,2.60
SV00057,IT004,2.30
SV00057,IT009,8.30
SV00057,ENG03,7.70
SV00058,IT002,4.30
SV00058,MATH03,5.50
SV00058,PHY01,8.60
SV00058,ENG01,6.00
SV00058,IT009,4.80
SV00058,MATH01,6.20
SV00058,ENG03,6.00
SV00058,IT005,6.30
SV00058,MATH05,3.50
SV00059,IT001,8.60
SV00059,ENG03,5.10
SV00059,PHY02,8.20
SV00059,IT007,4.30
SV00059,IT004,5.90
SV00059,IT003,8.70
SV00059,IT005,6.60
SV00059,IT008,3.90
SV00059,PHY01,6.30
SV00060,IT004,2.40
SV00060,ENG03,7.80
SV00060,IT008,3.80
SV00060,ENG01,8.60
SV00060,MATH05,6.60
SV00060,MATH01,2.00
SV00060,IT005,3.30
SV00060,IT002,8.50
SV00060,IT007,2.10
SV00061,MATH02,8.40
SV00061,IT010,6.30
SV00061,MATH03,9.10
SV00061,MATH01,4.30
SV00061,ENG03,5.60
SV00061,IT003,3.10
SV00062,IT009,9.00
SV00062,MATH04,7.20
SV00062,ENG01,7.70
SV00062,MATH01,9.10
SV00062,IT004,10.00
SV00062,MATH02,4.80
SV00063,ENG03,7.30
SV00063,MATH01,4.80
SV00063,IT004,8.20
SV00063,MATH05,9.40
SV00063,IT008,3.90
SV00063,ENG02,5.50
SV00064,IT002,7.00
SV00064,IT003,7.40
SV00064,IT004,6.90
SV00064,MATH01,9.60
SV00064,IT008,6.60
SV00065,PHY01,7.90
SV00065,ENG03,2.70
SV00065,MATH01,4.60
SV00065,MATH02,6.40
SV00065,ENG01,3.40
SV00065,MATH05,9.10
SV00065,PHY02,9.70
SV00066,IT010,8.80
SV00066,IT004,2.10
SV00066,IT002,9.50
SV00066,IT007,9.10
SV00066,ENG03,5.30
SV00066,IT001,2.10
SV00067,IT010,8.20
SV00067,MATH04,7.00
SV00067,ENG02,2.50
SV00067,IT002,6.00
SV00067,MATH03,6.20
SV00067,MATH01,8.10
SV00067,IT008,4.70
SV00067,IT005,6.80
SV00068,IT009,8.70
SV00068,ENG01,6.90
SV00068,IT003,9.90
SV00068,PHY01,8.50
SV00068,PHY02,6.40
SV00069,MATH02,6.80
SV00069,MATH05,3.00
SV00069,IT006,7.60
SV00069,IT004,5.90
SV00069,IT009,6.30
SV00069,IT001,3.50
SV00069,ENG03,8.30
SV00069,ENG02,9.80
SV00069,IT008,5.40
SV00070,MATH05,8.10
SV00070,IT004,9.70
SV00070,MATH04,7.20
SV00070,IT002,5.30
SV00070,MATH02,9.90
SV00070,IT003,3.00
SV00070,IT009,2.10
SV00070,IT008,9.30
SV00070,IT010,8.40
SV00071,IT004,6.50
SV00071,IT009,3.80
SV00071,PHY01,6.50
SV00071,PHY02,5.00
SV00071,IT001,7.80
SV00072,IT008,4.80
SV00072,ENG01,8.70
SV00072,PHY01,5.20
SV00072,MATH05,7.90
SV00072,MATH02,3.90
SV00072,IT009,6.80
SV00073,MATH03,2.20
SV00073,IT004,4.60
SV00073,IT007,8.30
SV00073,IT001,2.50
SV00073,PHY01,4.00
SV00073,MATH02,5.30
SV00074,PHY02,9.30
SV00074,MATH04,6.70
SV00074,MATH05,7.70
SV00074,ENG01,5.60
SV00074,IT001,7.60
SV00074,IT005,3.80
SV00074,MATH01,3.30
SV00074,IT010,2.40
SV00074,ENG03,8.00
SV00075,ENG01,6.00
SV00075,MATH02,2.70
SV00075,PHY01,9.90
SV00075,IT006,6.10
SV00075,MATH03,7.50
SV00075,IT005,8.10
SV00075,IT007,2.00
SV00075,MATH04,9.70
SV00075,IT008,8.60
SV00075,PHY02,9.90
SV00076,IT001,2.10
SV00076,ENG02,7.40
SV00076,IT002,2.60
SV00076,ENG01,9.90
SV00076,IT007,7.50
SV00076,MATH05,9.40
SV00076,IT006,9.10
SV00076,MATH02,7.40
SV00077,PHY01,5.00
SV00077,IT008,4.20
SV00077,IT006,6.80
SV00077,IT009,6.30
SV00077,MATH03,8.00
SV00077,ENG02,6.10
SV00077,MATH02,2.70
SV00077,MATH01,8.90
SV00078,MATH02,2.40
SV00078,ENG01,9.70
SV00078,IT002,8.50
SV00078,IT007,9.30
SV00078,MATH03,3.40
SV00078,MATH01,2.90
SV00078,IT006,7.60
SV00079,MATH04,9.30
SV00079,IT010,8.10
SV00079,IT007,7.20
SV00079,PHY01,8.70
SV00079,IT003,9.90
SV00079,IT008,2.10
SV00079,IT004,2.70
SV00079,IT009,4.40
SV00079,IT001,6.60
SV00080,MATH03,4.20
SV00080,ENG03,7.20
SV00080,PHY01,8.10
SV00080,MATH05,6.10
SV00080,IT008,6.30
SV00081,IT002,7.00
SV00081,IT004,9.90
SV00081,ENG02,8.70
SV00081,MATH02,7.80
SV00081,IT006,2.80
SV00082,MATH05,9.20
SV00082,IT003,3.60
SV00082,IT004,9.80
SV00082,PHY01,10.00
SV00082,IT010,2.70
SV00082,ENG02,4.70
SV00083,ENG03,7.50
SV00083,MATH01,2.40
SV00083,MATH05,7.30
SV00083,PHY01,7.00
SV00083,IT005,4.70
SV00083,MATH04,6.50
SV00084,IT007,2.00
SV00084,IT010,8.90
SV00084,IT005,6.00
SV00084,ENG01,3.00
SV00084,MATH04,5.50
SV00084,IT001,2.40
SV00084,IT006,5.80
SV00084,IT004,7.80
SV00084,IT002,5.90
SV00085,IT004,8.10
SV00085,MATH05,8.40
SV00085,IT001,10.00
SV00085,IT009,9.90
SV00085,MATH04,3.80
SV00085,PHY01,7.00
SV00086,MATH02,10.00
SV00086,PHY02,9.40
SV00086,MATH03,4.80
SV00086,IT003,3.90
SV00086,IT007,9.80
SV00086,IT006,4.60
SV00087,IT009,9.40
SV00087,MATH01,3.00
SV00087,IT004,5.60
SV00087,ENG01,3.60
SV00087,ENG02,9.80
SV00087,IT007,7.70
SV00087,MATH02,4.60
SV00087,IT003,4.60
SV00087,PHY01,4.00
SV00087,IT010,7.90
SV00088,IT010,6.90
SV00088,IT009,8.90
SV00088,ENG01,3.30
SV00088,ENG03,7.60
SV00088,IT008,3.30
SV00089,IT006,4.10
SV00089,IT007,7.30
SV00089,ENG01,4.50
SV00089,IT010,7.20
SV00089,ENG02,8.10
SV00089,ENG03,5.50
SV00089,IT002,9.60
SV00089,IT003,7.20
SV00089,IT009,3.50
SV00089,MATH04,5.80
SV00090,MATH05,9.70
SV00090,IT009,8.10
SV00090,IT007,2.60
SV00090,IT004,8.40
SV00090,ENG01,2.20
SV00090,PHY01,2.50
SV00090,MATH03,9.10
SV00090,MATH02,9.70
SV00091,ENG03,3.30
SV00091,PHY02,6.60
SV00091,MATH03,4.70
SV00091,IT001,9.10
SV00091,IT010,3.90
SV00091,IT008,9.50
SV00091,ENG02,2.70
SV00091,IT003,9.20
SV00091,MATH05,3.80
SV00091,IT007,9.90
SV00092,ENG02,6.30
SV00092,PHY02,9.10
SV00092,MATH02,4.10
SV00092,ENG01,8.30
SV00092,IT002,6.60
SV00092,MATH03,6.20
SV00092,IT003,3.60
SV00092,MATH04,7.90
SV00093,IT003,3.70
SV00093,IT006,8.80
SV00093,IT004,3.00
SV00093,IT005,2.20
SV00093,ENG03,3.00
SV00094,IT007,7.50
SV00094,IT005,4.60
SV00094,IT004,4.90
SV00094,MATH03,8.30
SV00094,PHY02,6.70
SV00094,ENG03,7.90
SV00094,MATH01,4.90
SV00094,MATH02,6.80
SV00095,IT009,5.90
SV00095,PHY02,6.80
SV00095,MATH02,2.90
SV00095,MATH01,7.40
SV00095,IT006,4.50
SV00095,MATH05,4.70
SV00095,IT003,3.70
SV00095,IT001,3.40
SV00096,MATH03,5.10
SV00096,PHY01,4.20
SV00096,IT003,4.70
SV00096,PHY02,8.80
SV00096,IT005,2.90
SV00096,MATH02,2.80
SV00096,IT006,4.30
SV00096,ENG01,3.50
SV00096,IT009,4.40
SV00096,ENG03,3.20
SV00097,IT005,5.60
SV00097,IT007,9.70
SV00097,MATH03,6.10
SV00097,IT008,2.20
SV00097,MATH01,2.60
SV00097,ENG01,2.20
SV00097,IT001,3.40
SV00097,IT006,7.30
SV00097,ENG03,3.10
SV00097,IT004,8.70
SV00098,PHY01,5.70
SV00098,ENG02,6.40
SV00098,MATH01,2.70
SV00098,IT005,6.00
SV00098,MATH04,2.10
SV00098,IT003,4.80
SV00098,IT001,4.20
SV00099,MATH02,6.00
SV00099,IT008,4.50
SV00099,MATH03,9.10
SV00099,MATH01,4.90
SV00099,PHY02,4.90
SV00099,ENG03,9.60
SV00100,PHY01,7.50
SV00100,IT006,8.30
SV00100,MATH03,5.10
SV00100,MATH02,6.60
SV00100,MATH01,4.20
SV00100,IT002,5.20
SV00100,IT003,3.00
SV00100,MATH05,3.20
SV00100,IT005,10.00
SV00101,IT007,8.80
SV00101,IT001,3.40
SV00101,PHY02,8.10
SV00101,MATH02,4.50
SV00101,IT002,9.80
SV00102,IT002,5.10
SV00102,MATH05,10.00
SV00102,IT001,8.70
SV00102,IT007,6.90
SV00102,PHY01,10.00
SV00102,IT010,4.50
SV00103,MATH04,7.90
SV00103,PHY02,2.80
SV00103,ENG01,9.40
SV00103,IT005,4.60
SV00103,ENG02,9.70
SV00103,MATH03,3.00
SV00103,MATH05,5.60
SV00104,IT002,5.10
SV00104,MATH04,4.90
SV00104,ENG01,3.90
SV00104,PHY02,5.00
SV00104,IT008,4.30
SV00104,IT005,5.10
SV00104,IT007,8.40
SV00105,PHY01,7.60
SV00105,IT010,8.70
SV00105,MATH04,6.90
SV00105,MATH02,6.60
SV00105,IT005,5.60
SV00106,IT002,6.90
SV00106,MATH02,5.60
SV00106,MATH03,4.80
SV00106,MATH01,7.60
SV00106,ENG03,6.00
SV00106,MATH05,9.30
SV00106,ENG02,5.90
SV00106,MATH04,2.40
SV00106,PHY01,8.80
SV00107,ENG03,8.00
SV00107,IT004,6.70
SV00107,ENG02,5.00
SV00107,IT010,3.70
SV00107,MATH04,8.80
SV00107,IT007,2.10
SV00108,IT005,3.90
SV00108,IT003,3.90
SV00108,IT010,5.90
SV00108,MATH05,4.40
SV00108,MATH02,2.00
SV00109,ENG02,6.80
SV00109,MATH01,7.50
SV00109,PHY02,7.10
SV00109,ENG01,7.10
SV00109,ENG03,3.00
SV00109,IT002,8.80
SV00110,MATH02,2.50
SV00110,ENG01,9.60
SV00110,ENG02,3.90
SV00110,IT001,7.00
SV00110,IT005,4.50
SV00110,IT007,6.60
SV00110,IT004,5.00
SV00110,MATH01,8.40
SV00110,PHY01,4.60
SV00111,MATH04,9.00
SV00111,IT004,4.00
SV00111,PHY02,8.00
SV00111,IT010,9.80
SV00111,MATH01,5.80
SV00111,MATH02,9.10
SV00111,IT002,8.70
SV00111,IT008,6.10
SV00111,IT003,9.00
SV00112,IT008,6.50
SV00112,IT005,8.60
SV00112,ENG03,9.00
SV00112,MATH02,8.70
SV00112,MATH03,9.50
SV00112,ENG02,5.70
SV00113,MATH05,2.00
SV00113,MATH01,7.50
SV00113,IT007,3.50
SV00113,MATH04,5.50
SV00113,IT004,2.20
SV00113,ENG02,6.80
SV00113,PHY02,9.50
SV00113,IT009,3.50
SV00113,MATH03,6.60
SV00114,IT010,5.40
SV00114,MATH05,9.40
SV00114,ENG02,3.20
SV00114,IT003,5.60
SV00114,IT007,4.30
SV00114,IT002,4.30
SV00115,IT002,9.50
SV00115,IT007,8.50
SV00115,IT001,6.90
SV00115,IT004,9.30
SV00115,PHY01,3.80
SV00115,MATH05,5.00
SV00115,IT010,3.00
SV00115,IT006,7.00
SV00115,MATH01,3.90
SV00116,MATH01,6.20
SV00116,PHY02,5.00
SV00116,MATH04,2.20
SV00116,IT008,8.50
SV00116,ENG01,9.90
SV00117,PHY02,2.10
SV00117,ENG02,9.10
SV00117,PHY01,3.20
SV00117,ENG01,3.80
SV00117,MATH04,2.60
SV00117,IT004,5.60
SV00117,IT008,7.30
SV00118,PHY01,5.70
SV00118,IT005,6.30
SV00118,MATH04,6.70
SV00118,PHY02,3.40
SV00118,MATH03,9.00
SV00119,ENG02,8.50
SV00119,IT010,2.50
SV00119,IT002,10.00
SV00119,MATH05,4.00
SV00119,ENG03,3.70
SV00119,PHY01,8.10
SV00120,PHY02,5.70
SV00120,ENG03,5.90
SV00120,ENG02,4.50
SV00120,IT005,2.00
SV00120,ENG01,9.80
SV00120,IT004,7.80
SV00120,IT001,6.50
SV00120,IT006,3.60
SV00120,MATH04,9.20
SV00121,IT006,6.20
SV00121,ENG02,4.60
SV00121,MATH02,8.80
SV00121,IT007,3.00
SV00121,IT003,2.30
SV00121,IT004,3.30
SV00121,MATH04,5.50
SV00121,IT010,5.80
SV00121,IT008,7.10
SV00122,ENG03,8.50
SV00122,MATH02,9.70
SV00122,IT001,8.70
SV00122,MATH03,2.30
SV00122,IT002,9.00
SV00122,IT005,4.30
SV00122,MATH01,2.30
SV00122,PHY01,4.20
SV00122,IT004,10.00
SV00123,MATH04,4.10
SV00123,IT001,2.00
SV00123,MATH05,2.90
SV00123,IT008,5.70
SV00123,MATH02,6.30
SV00123,ENG03,8.80
SV00123,IT006,6.90
SV00123,ENG01,2.30
SV00124,ENG02,9.00
SV00124,MATH03,9.70
SV00124,ENG01,3.50
SV00124,IT008,7.20
SV00124,IT003,8.90
SV00124,IT005,7.20
SV00124,MATH05,6.60
SV00124,IT004,4.30
SV00125,IT005,4.80
SV00125,IT010,9.50
SV00125,ENG01,9.70
SV00125,MATH04,3.20
SV00125,MATH03,2.20
SV00125,PHY01,5.30
SV00125,IT009,4.30
SV00125,IT006,5.90
SV00126,MATH03,4.70
SV00126,IT010,3.30
SV00126,IT002,3.30
SV00126,IT005,6.60
SV00126,ENG01,4.70
SV00126,MATH02,2.60
SV00126,IT008,7.20
SV00127,ENG03,6.20
SV00127,ENG01,5.00
SV00127,IT007,2.50
SV00127,MATH05,3.20
SV00127,IT006,3.00
SV00127,PHY01,8.50
SV00127,IT008,9.40
SV00127,MATH04,5.00
SV00127,PHY02,3.70
SV00127,MATH03,7.40
SV00128,PHY01,5.00
SV00128,IT008,6.70
SV00128,IT001,9.60
SV00128,MATH04,3.00
SV00128,ENG01,3.40
SV00128,MATH01,8.90
SV00128,MATH05,2.90
SV00129,ENG01,5.10
SV00129,MATH04,7.00
SV00129,IT007,2.10
SV00129,IT004,9.50
SV00129,IT005,9.20
SV00129,IT010,6.70
SV00129,IT003,3.30
SV00129,PHY01,8.00
SV00129,ENG02,5.20
SV00129,IT002,3.70
SV00130,MATH01,7.20
SV00130,IT010,8.20
SV00130,MATH03,5.60
SV00130,MATH02,3.60
SV00130,IT006,8.20
SV00130,IT002,4.90
SV00130,IT008,8.80
SV00131,PHY02,6.10
SV00131,IT005,5.90
SV00131,IT007,7.70
SV00131,MATH01,6.60
SV00131,IT002,7.80
SV00131,IT001,2.60
SV00131,MATH05,9.00
SV00131,IT010,7.60
SV00131,IT008,4.70
SV00132,IT001,6.10
SV00132,PHY01,7.80
SV00132,IT005,9.40
SV00132,IT006,5.80
SV00132,PHY02,5.70
SV00132,ENG02,9.80
SV00132,ENG03,8.50
SV00132,IT007,6.90
SV00133,ENG02,9.70
SV00133,IT005,5.90
SV00133,IT003,3.40
SV00133,MATH04,5.00
SV00133,PHY01,6.10
SV00133,IT007,6.90
SV00133,ENG03,5.30
SV00133,IT002,7.00
SV00134,IT010,5.60
SV00134,IT003,2.20
SV00134,IT002,2.30
SV00134,IT001,5.20
SV00134,IT004,7.30
SV00134,MATH04,6.20
SV00134,IT006,6.30
SV00134,PHY02,7.10
SV00134,MATH02,8.60
SV00135,IT001,5.10
SV00135,IT005,8.00
SV00135,MATH01,8.50
SV00135,MATH03,8.00
SV00135,IT004,3.60
SV00136,IT007,10.00
SV00136,ENG03,3.30
SV00136,IT004,3.50
SV00136,PHY02,7.50
SV00136,IT009,5.50
SV00137,IT009,3.70
SV00137,MATH02,3.30
SV00137,ENG01,3.40
SV00137,PHY01,6.40
SV00137,PHY02,7.40
SV00137,IT002,7.30
SV00137,IT004,6.80
SV00138,MATH03,2.40
SV00138,IT007,5.00
SV00138,IT002,8.70
SV00138,MATH02,8.70
SV00138,PHY02,5.10
SV00138,IT001,9.00
SV00138,IT005,4.60
SV00139,ENG03,3.50
SV00139,MATH04,4.90
SV00139,IT010,7.10
SV00139,IT009,8.70
SV00139,ENG01,4.80
SV00140,ENG03,2.30
SV00140,IT001,9.70
SV00140,MATH05,8.80
SV00140,ENG02,5.70
SV00140,IT010,8.60
SV00140,MATH03,8.70
